"","Study","Year","Events.INT","Total.INT","Events.TAU","Total.TAU","C1","C2","C4","C5","C6","C7","C8","C9","C11","C12","C13","C14","na"
"1","Abizanda",2011,27,186,39,184,0,0,1,0,0,1,0,0,0,0,0,1,2
"2","Avendano ",2006,3,21,12,29,1,1,0,1,0,1,1,1,1,1,0,1,2
"3","Bonaventura",2007,0,30,5,30,1,1,0,1,0,1,1,0,0,0,0,0,2
"4","Chen",2017,13,196,27,179,1,0,0,1,0,1,0,0,0,0,0,0,2
"5","Dong",2020,2,50,9,53,0,1,0,1,0,0,1,1,1,1,0,1,2
"6","Hempenius",2013,12,127,19,133,1,1,0,1,1,1,1,0,1,1,1,1,2
"7","Hosie",2020,4,20,8,25,1,1,0,1,0,1,1,0,0,0,0,0,2
"8","Jeffs",2013,15,305,21,343,1,0,0,0,0,1,0,0,0,0,0,0,2
"9","Lundstrom",2007,56,102,73,97,0,0,0,1,1,1,1,1,1,0,0,1,2
"10","Marcantonio",2001,20,62,32,64,1,1,1,1,1,1,0,1,1,1,0,1,2
"11","Martinez",2012,8,144,19,143,1,1,1,0,0,0,0,0,0,0,0,0,2
"12","Partridge",2017,9,85,22,91,0,0,1,1,0,1,0,0,0,1,1,0,2
"13","Wang",2020,4,152,25,129,1,0,0,1,1,1,1,1,1,1,0,1,2
"14","Young",2020,24,343,33,370,1,1,1,1,1,1,1,0,1,0,0,0,2
