Study,Mean,SD,Total,Components
Ashton 1997,7.3,1.39,12,Control
Ashton 1997,9.1,5.81,20,R
Shuldham 2002,9.15,4.38,152,Control
Shuldham 2002,10.07,5.04,162,P+B
Beaupre 2004,7.3,2.5,60,Control
Beaupre 2004,6.7,2.2,55,B
Chaudhri 2005,10.11,2.39,18,Control
Chaudhri 2005,8.29,2.39,18,B
Crowe 2003,10.5,14.2,64,Control
Crowe 2003,6.55,4.2,68,P+B
Cunado Barrio 1999,18,10,35,Control
Cunado Barrio 1999,12,7,41,P
Daltroy 1998,12.575,2.97,54,Control
Daltroy 1998,12.5,2.97,58,P+S
Fortin 1976,6.44,1.61,32,Control
Fortin 1976,6.35,2.31,37,P+B
Furze 2009,8.28,4.96,104,Control
Furze 2009,7.61,2.69,100,P+C+R
Giraudet-Le Quintrec 2003,7.9,2.4,52,Control
Giraudet-Le Quintrec 2003,8.1,2.5,48,P+S+B+E
Lam 2001,8,2,30,Control
Lam 2001,7,1,30,S+B
Leserman 1989,9.6,2.97,14,Control
Leserman 1989,8.8,2.97,13,R
Levin 1987,8.371,3.148,17,Control
Levin 1987,7.563,2.331,16,R
Lin 2005,14.1,6.12,30,Control
Lin 2005,14.09,6.77,32,S+B+E
Mahler 1998,7.14,0.6,67,Control
Mahler 1998,6.52,0.43,65,P+S+B
Mahler 1998,6.008,0.226,125,P+S+C
McGregor 2004,18,2.97,20,Control
McGregor 2004,15,2.97,15,P+B
Oosting 2012,5.4,2.1,15,Control
Oosting 2012,5.1,1,14,B
Ridgeway 1982,8.82,2.97,20,Control
Ridgeway 1982,9.95,2.97,20,C
Ridgeway 1982,10.7,2.97,20,P+S
Watt-Watson 2000,5.13,0.99,16,Control
Watt-Watson 2000,5.585,1.292,29,B+C
Watt-Watson 2004,6.6,3.1,204,Control
Watt-Watson 2004,6.8,5.9,202,B+C
Wilson 1981,7.947,1.434,18,Control
Wilson 1981,7.113,1.422,18,R
Wilson 1981,6.881,1.065,17,P+S
Wilson 1981,6.893,1.595,19,P+S+R
Ziemer 1982,9.08,3.563,40,Control
Ziemer 1982,8.13,3.563,34,S
Ziemer 1982,8.11,3.563,37,S+B+C+R
Zieren 2007,3,2,50,Control
Zieren 2007,3,2,50,P+B
Felton 1976,14,2.97,25,Control
Felton 1976,14,2.97,12,C
Felton 1976,11,2.97,25,P+S+B
Langer 1975,7.6,2.97,15,Control
Langer 1975,5.64,2.97,14,C
Langer 1975,7.2,2.97,15,P+S
Langer 1975,6.2,2.97,15,P+S+C
Lindeman 1973,6.65,2.97,86,Control
Lindeman 1973,6.7,2.97,90,P+S+B
Schmitt 1973,11.8,2.97,25,Control
Schmitt 1973,11.8,2.97,25,P+B+E
D'Lima 1996,6.08,1,10,Control
D'Lima 1996,6.195,1.03,20,B
Mahler 1995,6.04,1.7,10,Control
Mahler 1995,5.035,1.048,19,P+S+C
Doering 2000,11.2,2.97,54,Control
Doering 2000,11.5,2.97,46,P+S
Bergin 2014,2.7,0.6,56,Control
Bergin 2014,2.5,0.6,50,B
Hulzebos 2006a,9.92,5.78,12,Control
Hulzebos 2006a,7.93,1.94,14,B
Rajendran 1998,18.6,6.6,20,Control
Rajendran 1998,12.4,3.6,25,B+R
Barbalho-Moulim 2011,2.11,0.33,17,Control
Barbalho-Moulim 2011,2,0,15,B
Bitterli 2001,14.6,2.6,36,Control
Bitterli 2001,14.6,2.5,35,B
Zhang 2012,9.6,1.7,20,Control
Zhang 2012,7.5,0.8,20,P+S+B
